Web host;Storage size;Max. file size;Direct access[1];Traffic or bandwidth limit;File expiration[2];Remote uploading?;Developer API?;FTP upload possible?;File versioning;Follows symlinks;Client-side encryption[3];Free GB (number only);Misc. notes;
Amazon Drive[4];{{some|}}{{nts|5}} GB 3 mo. free trial, up to 30 TB paid;{{rarely|2 GB upload via Web, 50 GB per file via Drive app and third party clients [5]}};{{yes|Yes}};{{rarely|}}Amazon S3 limits;{{bad|}} 90 days after subscription expires, data is deleted.;{{no}};{{yes}};{{no}};{{no}};?;?;{{some|5}};Free 5GB plan only for China and Brazil.;
Amazon S3[6];{{some|}}{{nts|5}} GB 12-month free trial with credit-card, paid bandwidth, unlimited paid;{{rarely|}}{{nts|5}} GB per file, unlimited files per bucket;{{yes}};{{rarely|}}Amazon S3 limits;{{some|None}}, pay for storage each month;{{no}};{{yes|}}REST, SOAP;?;{{yes}};?;?;{{nonfree|0}};{{n/a}};
Baidu Cloud;{{rarely|}}{{nts|2}} TB (6 GB free)[7];{{some|}}10 GB free, 20 GB paid [8];{{yes}};{{yes|None}};{{yes|None}};{{yes}};{{yes}};{{no}};{{no}};{{no}};?;{{free|6}};Currently in Chinese only;
Box[9][10];{{some|}}free trial, 100 GB paid (Starter), Unlimited Business, Unlimited Enterprise[11];{{rarely|}}250 MB free Personal, 5 GB paid Personal, 5 GB Business, 5 GB Enterprise[11];{{some|}}Paid account types only[12];{{some|}}10 GB/month free, 2 TB/month paid[13];{{yes|None}}{{Citation needed| date=March 2016}};{{some|}} 30 MB per file via IFTTT[14];{{yes}}[15];{{some|}} Business and Enterprise customers only[16];{{some}} (premium)[17];{{no}};?;{{free|10}};Does not sync Mac files such as iWork (Keynote etc.). Does not support Linux OS. 50 GB free with Sony Xperia or HP Spectre 13;
CloudMe[18];{{rarely|}}{{nts|3}} GB free, +500 MB for referrals up to 16 GB, 500 GB paid[19];{{some|}}{{nts|150}} MB free, Unlimited premium;{{no|}}No[20];{{yes|None}};{{yes|None}};{{no}} [21];{{yes|}} REST, SOAP, WebDAV[22];{{no}}[23];{{rarely}} (60 days)[24];?;?;{{free|3}};Primarily focused on media files, synchronization and backup with web sharing.;
Dropbox[25];{{some|}}{{nts|2}} GB free, +500 MB for referrals up to 18 GB, 1 TB, 2 TB, or unlimited paid[26];{{some|}}{{nts|10}} GB, Unlimited using client application;{{rarely|}}File-by-file, not for HTML[27][28];{{rarely|}}20 GB/day free, 200 GB/day paid[29];{{some|1 year of account inactivity}}[30];{{no}};{{Yes}};{{No}}[31];{{rarely|}} 30 days by default, 1 year w/ add-on[32];{{yes}};{{no}};{{free|2}};Synchronization, backup and websharing. Does support Linux OS 25 GB free with HTC Sense 4 & 5, 100 GB free with Samsung device;
Google Drive[33][34];{{some|}}{{nts|15}} GB free,[35] {{nts|100}} GB to {{nts|30}} TB paid;[36][37] Unlimited Storage for G Suite Business (1 TB per user if there are fewer than 5 users);{{rarely|}}{{nts|5}} TB[38];{{rarely|}}Manually, file-by-file[39][40];{{rarely|download: web client 750 MB/hour 1250 MB/day upload: 300 MB/hour 750 MB/day download from IMAP: 2500 MB download POP: 1250 MB Upload IMAP: 500 MB}}[41];{{yes|None}}{{Citation needed| date=October 2014}};{{no}};{{yes|}}OAuth2;{{no}};{{yes}}[42];{{no}};{{no}};{{free|15}};Additional space for limited time period with some devices and services.[43][44][45][46];
IBM Connections;{{rarely|}}{{nts|5}} GB, additional space paid;{{rarely|}}{{nts|2}} GB;{{yes}};{{yes|None}};{{yes|None}};{{no}};{{yes|}}CMIS, REST, Atom (standard) and OAuth2;{{no}};{{yes}};?;?;{{free|5}};Subscription costs US$6/year[47];
Apple iCloud[48];{{rarely|}} {{nts|5}} GB free, {{nts|50}} GB to {{nts|2}} TB paid;{{rarely|}}{{nts|50}} GB;{{yes}};{{rarely|}}200/400/600 GB per month;{{yes|None}};{{no}};{{Yes}};No;{{rarely|Partly}};{{no}};?;{{free|5}};{{nts|25}} GB for previous MobileMe account subscriptions[49];
iTransfer iT[50];{{rarely|}} {{nts|5}} GB Free, {{nts|100}} GB Premium;{{rarely|}}{{nts|25}} GB;{{yes}};{{yes|None}};1 Week FREE 1 Month  Premium;{{no}};{{No}};No;{{No}};{{no}};?;{{free|5}};{{N/A}};
Jumpshare;{{rarely|}}2 GB free, 1 TB paid;{{rarely|}}250 MB free, Unlimited paid;{{yes}};{{rarely|}}5GB per month free, 200GB per month on paid plan;{{yes|None}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{free|2}};Real-time file sharing with built-in utilities for screenshots, screencasts, notes, and voice clips.;
Koofr[51];{{rarely|}} {{nts|2}} GB free, {{nts|10}} GB to {{nts|1}} TB paid;{{yes|None}};{{yes}};{{yes|None}};{{yes|None}};{{no}};{{Yes}};{{no}};{{Yes}};?;{{no}};{{free|2}};{{N/A}};
MediaFire[52];{{rarely|}}{{nts|10}} GB, +{{nts|50}} GB for referrals up to {{nts|1}} TB Pro accounts, {{nts|100}} TB Business accounts;{{rarely|}}{{nts|4}} GB free,[53] {{nts|20}} GB paid[54];{{Yes}};{{some|}} {{nts|10}} TB pro plan, Business plans receive an amount of bandwidth per month equal to ten times the account’s storage space.[55];{{rarely|1 year account inactivity}}[56];{{Yes}};{{Yes}};{{No}}[57];{{Yes}};?;{{Yes}};{{free|10}};Resuming of interrupted downloads possible.;
Mega[58];{{rarely|}}{{nts|15}} GB free, up to {{nts|50}} GB free trial,[59] up to {{nts|8}} TB paid;{{good|}}Available cloud drive space[60];{{No|}}No[61];{{some|}} {{nts|10}} GB free, Up to {{nts|96}} TB per month paid.[62];{{rarely|3 months account inactivity/failure to reply to email}}[63];{{no}};{{yes}};{{no}};{{yes}}[64];?;{{yes}};{{free|50}};Apps for Windows, macOS, Linux, iOS, Android, Windows Phone, Blackberry, Chrome, Firefox, Safari[65] Supports HTML5 browsers.[66];
